timestamp,dx,dy,D,speed,radius,clicks,correct
1.6196E+18,0,0,0.558921,0,0.1,1,1
1.6196E+18,-1,1,0.558921,1.41421,0.1,2,1
1.6196E+18,-5,1,0.557958,5.09902,0.1,2,1
1.6196E+18,-6,4,0.55541,7.2111,0.1,2,1
1.6196E+18,-7,7,0.549204,9.89949,0.1,2,1
1.6196E+18,-8,10,0.539355,12.8062,0.1,2,1
1.6196E+18,-8,11,0.525284,13.6015,0.1,2,1
1.6196E+18,-8,12,0.509297,14.4222,0.1,2,1
1.6196E+18,-8,13,0.492359,15.2643,0.1,2,1
1.6196E+18,-8,14,0.471798,16.1245,0.1,2,1
1.6196E+18,-7,13,0.448328,14.7648,0.1,2,1
1.6196E+18,-8,13,0.429504,15.2643,0.1,2,1
1.6196E+18,-8,13,0.409383,15.2643,0.1,2,1
1.6196E+18,-8,13,0.388975,15.2643,0.1,2,1
1.6196E+18,-10,13,0.368938,16.4012,0.1,2,1
1.6196E+18,-10,13,0.346758,16.4012,0.1,2,1
1.6196E+18,-10,13,0.324749,16.4012,0.1,2,1
1.6196E+18,-10,13,0.302938,16.4012,0.1,2,1
1.6196E+18,-9,12,0.280342,15,0.1,2,1
1.6196E+18,-8,12,0.262495,14.4222,0.1,2,1
1.6196E+18,-6,10,0.245416,11.6619,0.1,2,1
1.6196E+18,-5,9,0.232903,10.2956,0.1,2,1
1.6196E+18,-2,8,0.221657,8.24621,0.1,2,1
1.6196E+18,-2,6,0.21311,6.32456,0.1,2,1
1.6196E+18,0,4,0.206776,4,0.1,2,1
1.6196E+18,0,5,0.203683,5,0.1,2,1
1.6196E+18,0,4,0.19956,4,0.1,2,1
1.6196E+18,1,4,0.196468,4.12311,0.1,2,1
1.6196E+18,0,2,0.193377,2,0.1,2,1
1.6196E+18,0,4,0.192347,4,0.1,2,1
1.6196E+18,0,5,0.189258,5,0.1,2,1
1.6196E+18,0,5,0.18411,5,0.1,2,1
1.6196E+18,-1,6,0.179993,6.08276,0.1,2,1
1.6196E+18,-1,6,0.174849,6.08276,0.1,2,1
1.6196E+18,-1,7,0.168513,7.07107,0.1,2,1
1.6196E+18,-2,7,0.161149,7.28011,0.1,2,1
1.6196E+18,-2,7,0.15362,7.28011,0.1,2,1
1.6196E+18,-3,7,0.146095,7.61577,0.1,2,1
1.6196E+18,-3,6,0.139453,6.7082,0.1,2,1
1.6196E+18,-3,6,0.132832,6.7082,0.1,2,1
1.6196E+18,-4,6,0.126232,7.2111,0.1,2,1
1.6196E+18,-3,5,0.120577,5.83095,0.1,2,1
1.6196E+18,-3,5,0.11518,5.83095,0.1,2,1
1.6196E+18,-3,5,0.110737,5.83095,0.1,2,1
1.6196E+18,-3,5,0.10641,5.83095,0.1,2,1
1.6196E+18,-3,6,0.102027,6.7082,0.1,2,1
1.6196E+18,-4,6,0.0956025,7.2111,0.1,2,1
1.6196E+18,-4,6,0.0891823,7.2111,0.1,2,1
1.6196E+18,-4,7,0.0828589,8.06226,0.1,2,1
1.6196E+18,-4,7,0.0755588,8.06226,0.1,2,1
1.6196E+18,-5,8,0.0683758,9.43398,0.1,2,1
1.6196E+18,-5,8,0.0593044,9.43398,0.1,2,1
1.6196E+18,-4,7,0.0514859,8.06226,0.1,2,1
1.6196E+18,-4,8,0.0447882,8.94427,0.1,2,1
1.6196E+18,-4,8,0.0374473,8.94427,0.1,2,1
1.6196E+18,-4,7,0.0291742,8.06226,0.1,2,1
1.6196E+18,-4,7,0.0232034,8.06226,0.1,2,1
1.6196E+18,-3,7,0.0175297,7.61577,0.1,2,1
1.6196E+18,-3,6,0.0118039,6.7082,0.1,2,1
1.6196E+18,-2,6,0.00825339,6.32456,0.1,2,1
1.6196E+18,-1,5,0.00306274,5.09902,0.1,2,1
1.6196E+18,-1,3,-0.000160887,3.16228,0.1,2,1
1.6196E+18,0,3,-0.00148856,3,0.1,2,1
1.6196E+18,0,3,-0.00420327,3,0.1,2,1
1.6196E+18,0,4,-0.00599888,4,0.1,2,1
1.6196E+18,0,5,-0.00866943,5,0.1,2,1
1.6196E+18,0,5,-0.0121835,5,0.1,2,1
1.6196E+18,0,5,-0.0156381,5,0.1,2,1
1.6196E+18,0,4,-0.0198611,4,0.1,2,1
1.6196E+18,0,4,-0.0223374,4,0.1,2,1
1.6196E+18,0,4,-0.0247654,4,0.1,2,1
1.6196E+18,0,4,-0.0271403,4,0.1,2,1
1.6196E+18,0,4,-0.0294567,4,0.1,2,1
1.6196E+18,0,5,-0.0317087,5,0.1,2,1
1.6196E+18,1,5,-0.0345995,5.09902,0.1,2,1
1.6196E+18,0,0,-0.0373464,0,0.1,2,1
1.6196E+18,1,4,0.213129,4.12311,0.1,3,2
1.6196E+18,1,4,0.213435,4.12311,0.1,3,2
1.6196E+18,1,2,0.213774,2.23607,0.1,3,2
1.6196E+18,0,1,0.21436,1,0.1,3,2
1.6196E+18,0,0,0.21436,0,0.1,3,2
1.6196E+18,2,-1,0.21436,2.23607,0.1,3,2
1.6196E+18,1,-1,0.21538,1.41421,0.1,4,2
1.6196E+18,1,-1,0.215594,1.41421,0.1,4,2
1.6196E+18,1,-2,0.216613,2.23607,0.1,4,2
1.6196E+18,1,-1,0.218067,1.41421,0.1,4,2
1.6196E+18,1,-1,0.218067,1.41421,0.1,4,2
1.6196E+18,0,-1,0.219307,1,0.1,4,2
1.6196E+18,0,-2,0.219307,2,0.1,4,2
1.6196E+18,0,-3,0.21976,3,0.1,4,2
1.6196E+18,-1,-5,0.220227,5.09902,0.1,4,2
1.6196E+18,-4,-6,0.221198,7.2111,0.1,4,2
1.6196E+18,-7,-6,0.218725,9.21954,0.1,4,2
1.6196E+18,-10,-6,0.212416,11.6619,0.1,4,2
1.6196E+18,-13,-6,0.203694,14.3178,0.1,4,2
1.6196E+18,-14,-3,0.191442,14.3178,0.1,4,2
1.6196E+18,-15,-1,0.176571,15.0333,0.1,4,2
1.6196E+18,-14,0,0.157962,14,0.1,4,2
1.6196E+18,-17,2,0.142031,17.1172,0.1,4,2
1.6196E+18,-16,3,0.118071,16.2788,0.1,4,2
1.6196E+18,-16,3,0.0947737,16.2788,0.1,4,2
1.6196E+18,-16,3,0.0732644,16.2788,0.1,4,2
1.6196E+18,-15,3,0.0522806,15.2971,0.1,4,2
1.6196E+18,-16,3,0.033615,16.2788,0.1,4,2
1.6196E+18,-15,3,0.0144396,15.2971,0.1,4,2
1.6196E+18,-14,3,-0.00175337,14.3178,0.1,4,2
1.6196E+18,-13,2,-0.0143357,13.1529,0.1,4,2
1.6196E+18,-12,2,-0.0220139,12.1655,0.1,4,2
1.6196E+18,-10,2,-0.0268264,10.198,0.1,4,2
1.6196E+18,-9,2,-0.0293831,9.21954,0.1,4,2
1.6196E+18,-7,2,-0.031295,7.28011,0.1,4,2
1.6196E+18,-6,2,-0.0315292,6.32456,0.1,4,2
1.6196E+18,-5,1,-0.0307688,5.09902,0.1,4,2
1.6196E+18,-4,1,-0.0300647,4.12311,0.1,4,2
1.6196E+18,-4,1,-0.0296,4.12311,0.1,4,2
1.6196E+18,-4,0,-0.0284511,4,0.1,4,2
1.6196E+18,-5,0,-0.0267828,5,0.1,4,2
1.6196E+18,-5,0,-0.0244144,5,0.1,4,2
1.6196E+18,-5,1,-0.0218955,5.09902,0.1,4,2
1.6196E+18,-5,1,-0.0200264,5.09902,0.1,4,2
1.6196E+18,-4,1,-0.017221,4.12311,0.1,4,2
1.6196E+18,-4,1,-0.0150327,4.12311,0.1,4,2
1.6196E+18,-3,2,-0.013463,3.60555,0.1,4,2
1.6196E+18,-3,2,-0.0125903,3.60555,0.1,4,2
1.6196E+18,-3,2,-0.0123212,3.60555,0.1,4,2
1.6196E+18,-3,2,-0.011325,3.60555,0.1,4,2
1.6196E+18,-3,2,-0.0108891,3.60555,0.1,4,2
1.6196E+18,-2,2,-0.00891339,2.82843,0.1,4,2
1.6196E+18,-1,2,-0.00918049,2.23607,0.1,4,2
1.6196E+18,-1,2,-0.0088483,2.23607,0.1,4,2
1.6196E+18,0,1,-0.00938846,1,0.1,4,2
1.6196E+18,0,0,-0.00991984,0,0.1,4,2
1.6196E+18,0,1,-0.00991984,1,0.1,5,2
1.6196E+18,0,0,-0.00991984,0,0.1,5,2
1.6196E+18,0,1,-0.00991984,1,0.1,6,2
1.6196E+18,1,1,-0.0104422,1.41421,0.1,6,2
1.6196E+18,2,1,-0.0109555,2.23607,0.1,6,2
1.6196E+18,2,1,-0.011863,2.23607,0.1,6,2
1.6196E+18,3,1,-0.014189,3.16228,0.1,6,2
1.6196E+18,4,2,-0.0165148,4.47214,0.1,6,2
1.6196E+18,4,2,-0.0197425,4.47214,0.1,6,2
1.6196E+18,4,3,-0.0234909,5,0.1,6,2
1.6196E+18,4,3,-0.0272385,5,0.1,6,2
1.6196E+18,4,3,-0.0324046,5,0.1,6,2
1.6196E+18,4,3,-0.0361486,5,0.1,6,2
1.6196E+18,3,3,-0.0413039,4.24264,0.1,6,2
1.6196E+18,2,2,-0.04412,2.82843,0.1,6,2
1.6196E+18,0,0,-0.0455229,0,0.1,6,2
1.6196E+18,1,1,0.690474,1.41421,0.2,7,3
1.6196E+18,1,1,0.689805,1.41421,0.2,7,3
1.6196E+18,0,0,0.690129,0,0.2,7,3
1.6196E+18,1,0,0.690129,1,0.2,8,3
1.6196E+18,1,0,0.689139,1,0.2,8,3
1.6196E+18,3,0,0.689139,3,0.2,8,3
1.6196E+18,6,-1,0.686169,6.08276,0.2,8,3
1.6196E+18,8,-2,0.681223,8.24621,0.2,8,3
1.6196E+18,10,-3,0.672657,10.4403,0.2,8,3
1.6196E+18,14,-4,0.66047,14.5602,0.2,8,3
1.6196E+18,17,-5,0.642022,17.72,0.2,8,3
1.6196E+18,22,-5,0.61501,22.561,0.2,8,3
1.6196E+18,25,-6,0.573516,25.7099,0.2,8,3
1.6196E+18,25,-5,0.523489,25.4951,0.2,8,3
1.6196E+18,25,-5,0.472868,25.4951,0.2,8,3
1.6196E+18,24,-4,0.423661,24.3311,0.2,8,3
1.6196E+18,23,-4,0.378231,23.3452,0.2,8,3
1.6196E+18,22,-5,0.334504,22.561,0.2,8,3
