timestamp,dx,dy,D,speed,radius,buttons
1619586937785407000,0,0,0.826942,0,0.133,0
1619586937889872000,-1,1,0.826942,1.41421,0.133,0
1619586937897166000,-3,-1,0.8269,3.16228,0.133,0
1619586937904741000,-6,-4,0.823916,7.2111,0.133,0
1619586937912509000,-10,-7,0.816516,12.2066,0.133,0
1619586937920656000,-13,-10,0.803947,16.4012,0.133,0
1619586937929469000,-15,-12,0.786964,19.2094,0.133,0
1619586937937668000,-19,-15,0.767039,24.2074,0.133,0
1619586937944997000,-21,-17,0.741954,27.0185,0.133,0
1619586937954001000,-22,-18,0.713931,28.4253,0.133,0
1619586937960607000,-25,-19,0.684445,31.4006,0.133,0
1619586937968602000,-26,-21,0.652023,33.4215,0.133,0
1619586937977141000,-27,-21,0.617417,34.2053,0.133,0
1619586937984542000,-29,-20,0.582109,35.2278,0.133,0
1619586937992933000,-29,-20,0.546162,35.2278,0.133,0
1619586938000721000,-30,-20,0.510322,36.0555,0.133,0
1619586938008944000,-29,-18,0.473921,34.1321,0.133,0
1619586938016942000,-26,-16,0.43998,30.5287,0.133,0
1619586938024817000,-23,-14,0.409895,26.9258,0.133,0
1619586938032912000,-20,-12,0.383639,23.3238,0.133,0
1619586938041693000,-17,-10,0.361173,19.7231,0.133,0
1619586938048706000,-13,-9,0.342446,15.8114,0.133,0
1619586938056632000,-11,-8,0.327096,13.6015,0.133,0
1619586938064588000,-8,-7,0.313859,10.6301,0.133,0
1619586938072546000,-6,-5,0.303241,7.81025,0.133,0
1619586938080457000,-5,-5,0.295521,7.07107,0.133,0
1619586938088813000,-4,-4,0.288362,5.65685,0.133,0
1619586938096432000,-3,-4,0.282642,5,0.133,0
1619586938104616000,-3,-5,0.277463,5.83095,0.133,0
1619586938113308000,-3,-5,0.271389,5.83095,0.133,0
1619586938121611000,-4,-6,0.265315,7.2111,0.133,0
1619586938128556000,-5,-7,0.257813,8.60233,0.133,0
1619586938137079000,-6,-8,0.248885,10,0.133,0
1619586938144520000,-7,-8,0.238534,10.6301,0.133,0
1619586938153616000,-6,-7,0.227671,9.21954,0.133,0
