timestamp,dx,dy,D,speed
1618417005962292000,0,1,0.0076798,1
1618417005969855000,0,1,0.00676252,1
1618417005977861000,0,1,0.0058868,1
1618417006001944000,0,0,0.00507416,0
1618417006089733000,0,0,0.886888,0
1618417006177699000,1,3,0.886888,3.16228
1618417006185822000,4,3,0.886951,5
1618417006193815000,8,4,0.884087,8.94427
1618417006201705000,13,5,0.877698,13.9284
1618417006209865000,17,5,0.866867,17.72
1618417006217717000,21,4,0.852273,21.3776
1618417006225715000,23,2,0.833584,23.0868
1618417006233676000,25,-1,0.812336,25.02
1618417006241666000,26,-5,0.78807,26.4764
1618417006249690000,27,-9,0.76124,28.4605
1618417006257697000,30,-11,0.731766,31.9531
1618417006265715000,32,-12,0.698595,34.176
1618417006273664000,35,-14,0.663106,37.6962
1618417006282029000,40,-16,0.623913,43.0813
1618417006289945000,42,-14,0.579133,44.2719
1618417006297743000,43,-13,0.533419,44.9222
1618417006305723000,43,-12,0.487329,44.643
1618417006314509000,43,-12,0.441882,44.643
1618417006321685000,39,-13,0.396681,41.1096
1618417006329706000,37,-13,0.354823,39.2173
1618417006337680000,32,-12,0.314974,34.176
1618417006345692000,28,-11,0.280296,30.0832
1618417006353665000,24,-11,0.249858,26.4008
1618417006361750000,19,-9,0.222968,21.0238
1618417006369707000,14,-9,0.201606,16.6433
1618417006377715000,10,-8,0.184373,12.8062
1618417006385674000,6,-7,0.171034,9.21954
1618417006393684000,3,-6,0.161586,6.7082
1618417006401687000,2,-5,0.155264,5.38516
1618417006409688000,0,-3,0.150459,3
1618417006417744000,0,-4,0.148617,4
1618417006426188000,0,-3,0.146229,3
1618417006433698000,-1,-3,0.144491,3.16228
1618417006537740000,1,-2,0.143682,2.23607
1618417006545671000,3,-2,0.1417,3.60555
1618417006553768000,4,-2,0.137947,4.47214
1618417006561678000,6,-2,0.133306,6.32456
1618417006569964000,8,-3,0.1269,8.544
1618417006578249000,8,-3,0.118201,8.544
1618417006585750000,8,-3,0.109534,8.544
1618417006593682000,8,-3,0.100907,8.544
1618417006601829000,9,-4,0.0923319,9.84886
1618417006609704000,10,-4,0.0823612,10.7703
1618417006617707000,9,-4,0.0716813,9.84886
1618417006626468000,9,-4,0.061943,9.84886
1618417006633771000,9,-3,0.0524039,9.48683
1618417006641697000,8,-3,0.0440324,8.544
1618417006649751000,6,-3,0.0369131,6.7082
1618417006657716000,5,-2,0.0314319,5.38516
1618417006665700000,3,-1,0.0279007,3.16228
1618417006673722000,2,-1,0.0263402,2.23607
1618417006681739000,1,-1,0.025137,1.41421
1618417006786201000,0,0,0.0240753,0
1618417006865769000,0,0,0.628388,0
1618417006889695000,-3,1,0.628388,3.16228
1618417006897726000,-4,2,0.629795,4.47214
1618417006905685000,-5,4,0.632381,6.40312
1618417006913707000,-6,5,0.637195,7.81025
1618417006921794000,-6,5,0.643221,7.81025
1618417006929743000,-7,6,0.649294,9.21954
1618417006937681000,-7,6,0.656607,9.21954
1618417006945702000,-7,6,0.663978,9.21954
1618417006953684000,-6,4,0.671405,7.2111
1618417006961712000,-5,3,0.676646,5.83095
1618417006969682000,-3,1,0.680704,3.16228
1618417006977708000,-1,-1,0.682337,1.41421
1618417006985838000,2,-6,0.681523,6.32456
1618417006993755000,4,-10,0.674984,10.7703
1618417007001754000,6,-12,0.663951,13.4164
1618417007009751000,9,-15,0.650481,17.4929
1618417007017935000,10,-17,0.633392,19.7231
1618417007025897000,11,-18,0.614139,21.095
1618417007034166000,12,-20,0.59378,23.3238
1618417007041970000,13,-21,0.571332,24.6982
1618417007049871000,13,-22,0.547881,25.5539
1618417007057976000,12,-22,0.523607,25.0599
1618417007065699000,11,-24,0.499654,26.4008
1618417007073780000,10,-24,0.47391,26
1618417007082230000,8,-26,0.448415,27.2029
1618417007089720000,6,-27,0.421078,27.6586
1618417007097976000,5,-27,0.392854,27.4591
1618417007105917000,3,-26,0.364716,26.1725
1618417007113978000,1,-25,0.337662,25.02
1618417007122159000,1,-23,0.311641,23.0217
1618417007130203000,0,-22,0.28771,22
1618417007137954000,0,-21,0.2648,21
1618417007146168000,1,-21,0.242933,21.0238
1618417007153935000,0,-17,0.221102,17
1618417007161822000,0,-17,0.203406,17
1618417007170056000,0,-15,0.185712,15
1618417007177753000,-1,-15,0.170102,15.0333
1618417007185696000,-2,-11,0.154446,11.1803
1618417007193946000,-2,-10,0.142916,10.198
1618417007202037000,-2,-8,0.132447,8.24621
1618417007209914000,-2,-7,0.124089,7.28011
1618417007218201000,-2,-6,0.116806,6.32456
1618417007226070000,-2,-5,0.110604,5.38516
1618417007234026000,-2,-5,0.105491,5.38516
1618417007242006000,-1,-5,0.10043,5.09902
1618417007250056000,-1,-5,0.0953287,5.09902
1618417007258103000,-1,-5,0.0902516,5.09902
1618417007266092000,-1,-5,0.0852032,5.09902
1618417007273962000,-1,-4,0.0801888,4.12311
1618417007281987000,-1,-4,0.0762414,4.12311
1618417007290067000,0,-2,0.0723336,2
1618417007298019000,0,-3,0.0702909,3
1618417007305932000,0,-3,0.0672316,3
1618417007314091000,0,-3,0.0641786,3
1618417007321970000,0,-3,0.0611328,3
1618417007330269000,0,-3,0.0580955,3
1618417007338078000,0,-2,0.055068,2
1618417007346339000,0,-3,0.053056,3
1618417007354017000,0,-2,0.0500488,2
1618417007362148000,0,-3,0.0480523,3
1618417007369952000,0,-3,0.0450725,3
1618417007378025000,0,-3,0.0421137,3
1618417007386046000,0,-4,0.0391807,4
1618417007394071000,0,-4,0.0353212,4
1618417007402143000,0,-5,0.0315401,5
1618417007410159000,0,-5,0.0269739,5
1618417007417947000,1,-6,0.022686,6.08276
1618417007426112000,1,-5,0.0173963,5.09902
1618417007433996000,1,-5,0.0135318,5.09902
1618417007441961000,1,-4,0.0109549,4.12311
1618417007450158000,1,-4,0.010296,4.12311
1618417007458076000,1,-3,0.0113533,3.16228
1618417007466075000,1,-2,0.0128904,2.23607
1618417007474226000,0,0,0.0140809,0
1618417007557301000,0,0,1.86046,0
1618417007570022000,0,3,1.86046,3
1618417007578087000,-1,6,1.85849,6.08276
1618417007585987000,-2,6,1.85373,6.32456
1618417007594121000,-3,8,1.84818,8.544
1618417007601885000,-4,9,1.84051,9.84886
1618417007609873000,-4,11,1.83139,11.7047
1618417007617981000,-5,13,1.82098,13.9284
1618417007625798000,-6,15,1.80849,16.1555
1618417007633908000,-6,16,1.79393,17.088
1618417007641903000,-7,16,1.77876,17.4642
1618417007650044000,-7,17,1.76282,18.3848
1618417007657970000,-9,16,1.7463,18.3576
1618417007665977000,-10,15,1.72878,18.0278
1618417007674011000,-12,15,1.71109,19.2094
1618417007681926000,-13,14,1.69174,19.105
1618417007689912000,-16,14,1.67219,21.2603
1618417007698029000,-18,13,1.65012,22.2036
1618417007705956000,-20,13,1.62699,23.8537
1618417007713917000,-23,15,1.60219,27.4591
1618417007721829000,-26,16,1.57363,30.5287
1618417007729842000,-29,17,1.54194,33.6155
1618417007737831000,-31,19,1.50713,36.3593
1618417007745973000,-34,21,1.46941,39.9625
1618417007754016000,-39,21,1.42795,44.2945
1618417007762359000,-41,22,1.38235,46.5296
1618417007770338000,-43,22,1.3345,48.3011
1618417007777791000,-43,22,1.28505,48.3011
1618417007787548000,-44,24,1.23567,50.1199
1618417007794110000,-44,27,1.18425,51.6236
1618417007802201000,-44,27,1.13093,51.6236
1618417007810033000,-44,25,1.07765,50.6063
1618417007818182000,-43,24,1.02576,49.2443
1618417007826070000,-42,22,0.975432,47.4131
1618417007833920000,-39,22,0.927366,44.7772
1618417007841890000,-36,21,0.88177,41.6773
