timestamp,dx,dy,D,speed,radius,buttons
1619591304014804000,0,0,0.744573,0,0.166,0
1619591304086432000,-2,-1,0.744573,2.23607,0.166,0
1619591304094164000,-2,-2,0.743847,2.82843,0.166,0
1619591304102042000,-4,-3,0.742097,5,0.166,0
1619591304110400000,-5,-4,0.739649,6.40312,0.166,0
1619591304118370000,-6,-5,0.736373,7.81025,0.166,0
1619591304126492000,-3,-5,0.732297,5.83095,0.166,0
1619591304134385000,-2,-4,0.727723,4.47214,0.166,0
1619591304142761000,-1,-4,0.724002,4.12311,0.166,0
1619591304150323000,-1,-5,0.720099,5.09902,0.166,0
1619591304158413000,-1,-6,0.715177,6.08276,0.166,0
1619591304166591000,-1,-9,0.709239,9.05539,0.166,0
1619591304175167000,-2,-12,0.700242,12.1655,0.166,0
1619591304182417000,-4,-15,0.688404,15.5242,0.166,0
1619591304191009000,-6,-18,0.673979,18.9737,0.166,0
1619591304198667000,-6,-19,0.657059,19.9249,0.166,0
1619591304206688000,-4,-20,0.639292,20.3961,0.166,0
1619591304214690000,-4,-22,0.620164,22.3607,0.166,0
1619591304222437000,-1,-21,0.599175,21.0238,0.166,0
1619591304230474000,4,-21,0.578461,21.3776,0.166,0
1619591304238506000,9,-23,0.55631,24.6982,0.166,0
1619591304246576000,12,-23,0.530669,25.9422,0.166,0
1619591304254328000,12,-24,0.504167,26.8328,0.166,0
1619591304262223000,13,-24,0.476719,27.2947,0.166,0
1619591304270389000,12,-25,0.449071,27.7308,0.166,0
1619591304278608000,11,-25,0.420761,27.313,0.166,0
1619591304286869000,11,-26,0.39277,28.2312,0.166,0
1619591304294613000,9,-25,0.363832,26.5707,0.166,0
1619591304302789000,7,-25,0.336412,25.9615,0.166,0
1619591304310975000,6,-24,0.309439,24.7386,0.166,0
1619591304318892000,5,-22,0.283702,22.561,0.166,0
1619591304326456000,4,-21,0.260212,21.3776,0.166,0
1619591304334527000,3,-20,0.237944,20.2237,0.166,0
1619591304342384000,2,-18,0.216898,18.1108,0.166,0
1619591304350535000,1,-17,0.198105,17.0294,0.166,0
