timestamp,dx,dy,D,speed
1618417114570251000,1,0,0,1
1618417114578689000,4,3,1.14644,5
1618417114586892000,6,5,1.14128,7.81025
1618417114594406000,7,7,1.13328,9.89949
1618417114602322000,8,9,1.12335,12.0416
1618417114610179000,12,11,1.11152,16.2788
1618417114618310000,15,14,1.09504,20.5183
1618417114626187000,18,15,1.07435,23.4307
1618417114634168000,21,17,1.05043,27.0185
1618417114642750000,23,19,1.0228,29.8329
1618417114650887000,25,21,0.992389,32.6497
1618417114658711000,27,21,0.959217,34.2053
1618417114666821000,28,22,0.924242,35.609
1618417114674708000,29,23,0.887926,37.0135
1618417114682557000,30,22,0.850287,37.2022
1618417114690206000,31,20,0.812231,36.8917
1618417114698718000,30,20,0.774167,36.0555
1618417114706186000,28,20,0.737089,34.4093
1618417114714191000,26,19,0.701971,32.2025
1618417114722664000,24,19,0.669254,30.6105
1618417114730998000,22,17,0.638549,27.8029
1618417114738207000,20,16,0.61067,25.6125
1618417114746563000,17,14,0.585214,22.0227
1618417114754245000,15,13,0.563521,19.8494
1618417114762162000,13,11,0.544243,17.0294
1618417114770634000,12,9,0.527709,15
1618417114779535000,10,8,0.51289,12.8062
1618417114787113000,9,7,0.500422,11.4018
1618417114794290000,8,6,0.489301,10
1618417114802295000,8,5,0.479512,9.43398
1618417114810306000,8,5,0.470042,9.43398
1618417114818679000,8,4,0.460588,8.94427
1618417114826335000,8,2,0.451431,8.24621
1618417114834246000,9,2,0.442846,9.21954
1618417114842305000,9,1,0.433258,9.05539
1618417114850285000,10,0,0.42396,10
1618417114858309000,12,0,0.413963,12
1618417114866514000,14,0,0.401994,14
1618417114874319000,16,0,0.388074,16
1618417114882284000,18,0,0.372226,18
1618417114890286000,19,0,0.354488,19
1618417114898318000,20,0,0.335884,20
1618417114906528000,21,-1,0.316456,21.0238
1618417114914244000,18,0,0.296678,18
1618417114922381000,18,0,0.279596,18
1618417114930555000,18,0,0.262742,18
1618417114938409000,17,0,0.246162,17
1618417114946814000,16,0,0.230809,16
1618417114954306000,17,2,0.216687,17.1172
1618417114962277000,16,4,0.20089,16.4924
1618417114970426000,15,5,0.185009,15.8114
1618417114978382000,15,6,0.169523,16.1555
1618417114986196000,13,7,0.153553,14.7648
1618417114994380000,11,7,0.1386,13.0384
1618417115002249000,10,7,0.125251,12.2066
1618417115010315000,8,7,0.112698,10.6301
1618417115018255000,7,8,0.101647,10.6301
1618417115026187000,5,8,0.090601,9.43398
1618417115034268000,6,8,0.0810762,10
1618417115042214000,7,9,0.0708487,11.4018
1618417115050246000,8,10,0.0592195,12.8062
1618417115058237000,8,9,0.0462575,12.0416
1618417115066193000,10,9,0.0341215,13.4536
1618417115074287000,10,9,0.0205185,13.4536
1618417115082453000,9,7,0.00839819,11.4018
1618417115090313000,9,5,0.00839819,10.2956
1618417115098226000,7,4,0.0170846,8.06226
1618417115106374000,6,3,0.0250434,6.7082
1618417115114288000,5,2,0.0317495,5.38516
1618417115122254000,3,2,0.0370927,3.60555
1618417115130209000,2,1,0.0408381,2.23607
1618417115194718000,0,-1,0.0431255,1
1618417115202310000,-1,-4,0.0425046,4.12311
1618417115210261000,-2,-4,0.0393083,4.47214
1618417115218238000,-3,-4,0.0354167,5
1618417115226158000,-3,-4,0.0307777,5
1618417115234236000,-2,-4,0.0263523,4.47214
1618417115242225000,-2,-4,0.0232924,4.47214
1618417115250158000,-2,-2,0.0208333,2.82843
1618417115258274000,-1,-2,0.0188654,2.23607
1618417115274165000,0,-1,0.0181919,1
1618417115282187000,-1,-1,0.0184584,1.41421
1618417115290310000,-1,-1,0.0178,1.41421
1618417115306292000,-1,-3,0.0172427,3.16228
1618417115314437000,-1,-1,0.0179215,1.41421
1618417115322556000,-2,-2,0.0177389,2.82843
1618417115330293000,-1,-2,0.0177389,2.23607
1618417115338294000,-1,-1,0.0187789,1.41421
1618417115370256000,0,0,0.0191225,0
1618417115442315000,0,0,0.231635,0
1618417115522207000,-1,1,0.231635,1.41421
1618417115530156000,1,2,0.23278,2.23607
1618417115538198000,2,2,0.234744,2.82843
1618417115546254000,3,1,0.236617,3.16228
1618417115557035000,2,0,0.237391,2
1618417115562174000,4,0,0.237237,4
1618417115570172000,7,-1,0.236986,7.07107
1618417115578311000,7,-3,0.235679,7.61577
1618417115586433000,8,-5,0.232514,9.43398
1618417115594242000,8,-8,0.227544,11.3137
1618417115602342000,9,-13,0.219783,15.8114
1618417115610272000,9,-16,0.207369,18.3576
1618417115618449000,9,-17,0.19249,19.2354
1618417115626452000,7,-17,0.177417,18.3848
1618417115634232000,6,-16,0.162705,17.088
1618417115642218000,6,-14,0.149529,15.2315
1618417115650323000,5,-12,0.139222,13
1618417115658172000,4,-11,0.131191,11.7047
1618417115666228000,4,-9,0.124296,9.84886
1618417115674138000,2,-9,0.119794,9.21954
1618417115682148000,1,-8,0.114516,8.06226
1618417115690200000,0,-6,0.109697,6
1618417115698189000,0,-6,0.105757,6
1618417115706210000,-1,-6,0.102047,6.08276
1618417115714477000,-2,-5,0.0977129,5.38516
1618417115722195000,-2,-4,0.0932235,4.47214
1618417115730149000,-2,-3,0.0893572,3.60555
1618417115738189000,-2,-2,0.0860465,2.82843
1618417115746172000,-2,-2,0.0832406,2.82843
1618417115754266000,-1,-1,0.0804447,1.41421
1618417115786191000,-1,-1,0.0790508,1.41421
1618417115802366000,-2,-1,0.0776599,2.23607
1618417115810159000,-2,-2,0.075331,2.82843
1618417115818216000,-3,-2,0.0725593,3.60555
1618417115826240000,-5,-2,0.0688512,5.38516
1618417115834191000,-6,-3,0.0632475,6.7082
1618417115842248000,-6,-4,0.0562648,7.2111
1618417115850189000,-8,-4,0.04887,8.94427
1618417115858207000,-9,-4,0.0395775,9.84886
1618417115866196000,-9,-3,0.0293268,9.48683
1618417115874321000,-9,-2,0.0194626,9.21954
1618417115882186000,-9,-2,0.0101509,9.21954
