timestamp,dx,dy,D,speed,radius,buttons
1619592151279359000,0,0,0.516682,0,0.2,0
1619592151286566000,-3,-1,0.516682,3.16228,0.2,0
1619592151294406000,-4,-2,0.517365,4.47214,0.2,0
1619592151302563000,-8,-3,0.517712,8.544,0.2,0
1619592151310584000,-12,-7,0.519414,13.8924,0.2,0
1619592151318637000,-16,-12,0.520071,20,0.2,0
1619592151326551000,-22,-18,0.519319,28.4253,0.2,0
1619592151334517000,-28,-22,0.518437,35.609,0.2,0
1619592151342470000,-31,-25,0.520447,39.8246,0.2,0
1619592151350329000,-33,-28,0.525275,43.2782,0.2,0
1619592151358547000,-40,-29,0.533041,49.4065,0.2,0
1619592151366345000,-53,-29,0.550034,60.4152,0.2,0
1619592151374297000,-63,-23,0.583225,67.0671,0.2,0
1619592151382459000,-68,-19,0.633041,70.6045,0.2,0
1619592151390434000,-70,-17,0.692617,72.0347,0.2,0
1619592151398432000,-70,-16,0.757222,71.8053,0.2,0
1619592151407306000,-69,-15,0.823832,70.6116,0.2,0
1619592151414365000,-57,-9,0.890915,57.7062,0.2,0
1619592151423010000,-44,-6,0.947647,44.4072,0.2,0
1619592151430411000,-30,-3,0.991864,30.1496,0.2,0
1619592151438942000,-16,-3,1.02228,16.2788,0.2,0
1619592151446431000,-4,-2,1.03832,4.47214,0.2,0
1619592151454590000,4,-2,1.04215,4.47214,0.2,0
1619592151462351000,12,-4,1.03774,12.6491,0.2,0
1619592151470457000,20,-5,1.02479,20.6155,0.2,0
1619592151478855000,28,-6,1.00344,28.6356,0.2,0
1619592151486380000,35,-4,0.973704,35.2278,0.2,0
1619592151494456000,39,-2,0.937014,39.0512,0.2,0
1619592151503734000,45,-1,0.896475,45.0111,0.2,0
1619592151510625000,51,0,0.849908,51,0.2,0
1619592151518457000,55,0,0.797354,55,0.2,0
1619592151526634000,57,0,0.74077,57,0.2,0
1619592151534923000,58,0,0.682253,58,0.2,0
1619592151543494000,58,0,0.622876,58,0.2,0
1619592151550429000,58,0,0.563719,58,0.2,0
1619592151558833000,59,0,0.504862,59,0.2,0
1619592151566462000,56,0,0.445418,56,0.2,0
1619592151574503000,50,0,0.389576,50,0.2,0
1619592151582529000,48,-3,0.340424,48.0937,0.2,0
1619592151590519000,43,-5,0.292923,43.2897,0.2,0
1619592151599016000,38,-6,0.250139,38.4708,0.2,0
1619592151606515000,33,-6,0.212299,33.541,0.2,0
1619592151614709000,28,-5,0.179765,28.4429,0.2,0
1619592151622074000,23,-4,0.153054,23.3452,0.2,0
1619592151630100000,18,-4,0.132123,18.4391,0.2,0
1619592151638132000,13,-2,0.115988,13.1529,0.2,0
1619592151646122000,8,-2,0.105715,8.24621,0.2,0
1619592151654136000,4,-2,0.0991403,4.47214,0.2,0
1619592151670351000,-1,-2,0.0950968,2.23607,0.2,0
1619592151679016000,-4,-2,0.0939373,4.47214,0.2,0
1619592151686633000,-6,-2,0.0946685,6.32456,0.2,0
1619592151694487000,-7,-3,0.0969663,7.61577,0.2,0
1619592151702416000,-7,-3,0.0996376,7.61577,0.2,0
1619592151710397000,-7,-3,0.102853,7.61577,0.2,0
1619592151718431000,-7,-3,0.106563,7.61577,0.2,0
1619592151726480000,-5,-4,0.110718,6.40312,0.2,0
1619592151734464000,-4,-5,0.112945,6.40312,0.2,0
1619592151742297000,-2,-5,0.114114,5.38516,0.2,0
1619592151750387000,-1,-5,0.113751,5.09902,0.2,0
1619592151758366000,0,-4,0.112694,4,0.2,0
1619592151766387000,1,-6,0.111237,6.08276,0.2,0
1619592151774245000,3,-4,0.108314,5,0.2,0
1619592151782205000,4,-4,0.104178,5.65685,0.2,0
1619592151790294000,6,-4,0.0991286,7.2111,0.2,0
1619592151798775000,8,-5,0.0921341,9.43398,0.2,0
1619592151807120000,9,-5,0.083003,10.2956,0.2,0
1619592151814649000,10,-5,0.0730147,11.1803,0.2,0
1619592151822256000,10,-4,0.0622272,10.7703,0.2,0
1619592151830759000,9,-4,0.0517728,9.84886,0.2,0
1619592151838902000,7,-3,0.04275,7.61577,0.2,0
1619592151846932000,5,-3,0.0361624,5.83095,0.2,0
1619592151855287000,4,-1,0.0321541,4.12311,0.2,0
1619592151862856000,2,-1,0.028777,2.23607,0.2,0
1619592151878355000,0,0,0.0274472,0,0.2,1
1619592151942927000,0,0,0.2988,0,0.133,0
1619592151950236000,2,-1,0.2988,2.23607,0.133,0
1619592151958635000,1,-1,0.300113,1.41421,0.133,0
1619592151966270000,1,-1,0.300524,1.41421,0.133,0
1619592151974161000,2,-1,0.300941,2.23607,0.133,0
1619592151990624000,2,-1,0.302285,2.23607,0.133,0
1619592152006077000,1,0,0.30364,1,0.133,0
1619592152070202000,-1,0,0.304563,1,0.133,0
1619592152078697000,-8,0,0.30364,8,0.133,0
1619592152086431000,-13,-1,0.296285,13.0384,0.133,0
1619592152094564000,-18,-3,0.283934,18.2483,0.133,0
1619592152102282000,-24,-4,0.266161,24.3311,0.133,0
1619592152110314000,-29,-6,0.242755,29.6142,0.133,0
1619592152118245000,-34,-7,0.21434,34.7131,0.133,0
1619592152126645000,-39,-9,0.182061,40.025,0.133,0
1619592152134791000,-42,-10,0.146514,43.1741,0.133,0
1619592152142196000,-43,-11,0.112749,44.3847,0.133,0
1619592152150566000,-43,-9,0.0883194,43.9318,0.133,0
1619592152158347000,-42,-5,0.0865241,42.2966,0.133,0
1619592152166250000,-40,-6,0.108567,40.4475,0.133,0
1619592152174744000,-33,-5,0.138986,33.3766,0.133,0
1619592152182460000,-23,-4,0.167916,23.3452,0.133,0
1619592152190901000,-13,-2,0.189081,13.1529,0.133,0
1619592152198921000,-5,-1,0.201433,5.09902,0.133,0
1619592152206608000,-1,-1,0.206166,1.41421,0.133,0
1619592152223422000,5,0,0.206899,5,0.133,0
1619592152230359000,7,0,0.201872,7,0.133,0
1619592152238923000,10,-1,0.194851,10.0499,0.133,0
1619592152246377000,11,-2,0.184559,11.1803,0.133,0
1619592152254214000,13,-3,0.172986,13.3417,0.133,0
1619592152262835000,13,-2,0.159124,13.1529,0.133,0
1619592152270608000,13,-3,0.145589,13.3417,0.133,0
1619592152278598000,12,-2,0.131752,12.1655,0.133,0
1619592152286452000,10,-2,0.119259,10.198,0.133,0
1619592152294204000,9,-2,0.108757,9.21954,0.133,0
1619592152302060000,5,-1,0.0992529,5.09902,0.133,0
