timestamp,dx,dy,D,speed,radius,buttons
1619592448199633000,0,0,0.510048,0,0.133,0
1619592448269305000,-1,1,0.510048,1.41421,0.133,0
1619592448277280000,1,1,0.509726,1.41421,0.133,0
1619592448285586000,2,4,0.508288,4.47214,0.133,0
1619592448293453000,4,5,0.503654,6.40312,0.133,0
1619592448301534000,4,7,0.497024,8.06226,0.133,0
1619592448309391000,5,8,0.488634,9.43398,0.133,0
1619592448317350000,5,10,0.478808,11.1803,0.133,0
1619592448325316000,5,12,0.467224,13,0.133,0
1619592448333386000,5,16,0.453893,16.7631,0.133,0
1619592448341207000,7,19,0.437093,20.2485,0.133,0
1619592448349243000,9,22,0.416592,23.7697,0.133,0
1619592448357367000,10,24,0.392397,26,0.133,0
1619592448365380000,13,25,0.365979,28.178,0.133,0
1619592448373867000,15,24,0.336963,28.3019,0.133,0
1619592448381254000,16,23,0.307582,28.0179,0.133,0
1619592448389340000,16,20,0.278419,25.6125,0.133,0
1619592448397597000,16,17,0.25175,23.3452,0.133,0
1619592448406311000,15,15,0.227591,21.2132,0.133,0
1619592448413831000,15,12,0.205772,19.2094,0.133,0
1619592448422637000,13,11,0.186609,17.0294,0.133,0
1619592448429543000,12,10,0.169628,15.6205,0.133,0
1619592448438005000,11,9,0.154245,14.2127,0.133,0
1619592448445610000,9,10,0.140472,13.4536,0.133,0
1619592448453474000,8,9,0.126912,12.0416,0.133,0
1619592448461348000,8,10,0.114845,12.8062,0.133,0
1619592448469323000,6,9,0.101933,10.8167,0.133,0
1619592448477296000,7,10,0.090878,12.2066,0.133,0
1619592448485375000,7,9,0.0785466,11.4018,0.133,0
1619592448493284000,7,9,0.0673576,11.4018,0.133,0
1619592448501287000,7,9,0.0564503,11.4018,0.133,0
1619592448509381000,6,10,0.0460255,11.6619,0.133,0
1619592448517379000,7,10,0.0353996,12.2066,0.133,0
1619592448525353000,5,9,0.0264641,10.2956,0.133,0
1619592448533463000,5,9,0.0209637,10.2956,0.133,0
1619592448541377000,4,9,0.0202149,9.84886,0.133,0
