timestamp,dx,dy,D,speed,radius,buttons
1619591692374383000,0,0,0.636477,0,0.133,0
1619591692486208000,1,-1,0.636477,1.41421,0.133,0
1619591692494138000,3,-5,0.635471,5.83095,0.133,0
1619591692502238000,4,-9,0.630644,9.84886,0.133,0
1619591692510294000,6,-15,0.621792,16.1555,0.133,0
1619591692518266000,6,-19,0.608385,19.9249,0.133,0
1619591692526317000,6,-23,0.591956,23.7697,0.133,0
1619591692534371000,5,-25,0.571491,25.4951,0.133,0
1619591692542305000,4,-27,0.549266,27.2947,0.133,0
1619591692550429000,2,-27,0.526302,27.074,0.133,0
1619591692558384000,1,-27,0.503624,27.0185,0.133,0
1619591692566423000,3,-27,0.48126,27.1662,0.133,0
1619591692574349000,4,-28,0.458659,28.2843,0.133,0
1619591692582351000,5,-26,0.4358,26.4764,0.133,0
1619591692590409000,6,-25,0.412664,25.7099,0.133,0
1619591692598422000,7,-25,0.391222,25.9615,0.133,0
1619591692606285000,9,-24,0.369472,25.632,0.133,0
1619591692614419000,8,-23,0.347414,24.3516,0.133,0
1619591692622342000,9,-22,0.326353,23.7697,0.133,0
1619591692630351000,8,-21,0.306294,22.4722,0.133,0
1619591692638310000,8,-19,0.287243,20.6155,0.133,0
1619591692646351000,7,-17,0.270495,18.3848,0.133,0
1619591692654420000,5,-16,0.254762,16.7631,0.133,0
1619591692662319000,4,-14,0.240599,14.5602,0.133,0
1619591692670392000,3,-13,0.227719,13.3417,0.133,0
1619591692678448000,3,-13,0.216846,13.3417,0.133,0
1619591692686522000,2,-13,0.20525,13.1529,0.133,0
1619591692694262000,1,-14,0.19366,14.0357,0.133,0
1619591692702583000,1,-14,0.182376,14.0357,0.133,0
1619591692710480000,0,-12,0.171438,12,0.133,0
1619591692718594000,0,-13,0.161557,13,0.133,0
1619591692726421000,0,-13,0.150772,13,0.133,0
1619591692734583000,0,-12,0.141059,12,0.133,0
1619591692742669000,0,-11,0.131454,11,0.133,0
1619591692750479000,1,-10,0.122923,10.0499,0.133,0
1619591692758355000,1,-8,0.114977,8.06226,0.133,0
1619591692766312000,1,-7,0.10802,7.07107,0.133,0
1619591692774369000,1,-6,0.102031,6.08276,0.133,0
1619591692782341000,1,-4,0.0978889,4.12311,0.133,0
1619591692790274000,1,-4,0.0937611,4.12311,0.133,0
1619591692798247000,1,-5,0.0910802,5.09902,0.133,0
1619591692806257000,1,-5,0.086991,5.09902,0.133,0
1619591692814224000,2,-5,0.0829226,5.38516,0.133,0
1619591692822310000,2,-6,0.0782972,6.32456,0.133,0
1619591692830353000,3,-6,0.0734099,6.7082,0.133,0
1619591692838293000,2,-6,0.0673538,6.32456,0.133,0
1619591692846518000,2,-5,0.0625483,5.38516,0.133,0
1619591692854271000,1,-3,0.0579817,3.16228,0.133,0
1619591692862208000,0,0,0.0557042,0,0.133,1
1619591692950780000,0,0,1.40765,0,0.166,0
1619591692998398000,0,1,1.40765,1,0.166,0
1619591693006443000,0,4,1.40765,4,0.166,0
1619591693014360000,0,6,1.40375,6,0.166,0
1619591693022384000,0,8,1.39889,8,0.166,0
1619591693030216000,0,12,1.39305,12,0.166,0
1619591693038481000,0,17,1.38334,17,0.166,0
1619591693046515000,2,21,1.36975,21.095,0.166,0
1619591693054411000,3,24,1.35289,24.1868,0.166,0
1619591693062523000,5,27,1.33335,27.4591,0.166,0
1619591693070512000,6,29,1.30957,29.6142,0.166,0
1619591693078313000,6,30,1.28542,30.5941,0.166,0
1619591693086328000,6,31,1.25935,31.5753,0.166,0
1619591693094344000,9,31,1.23331,32.28,0.166,0
1619591693102346000,10,31,1.20647,32.573,0.166,0
1619591693110241000,12,32,1.17828,34.176,0.166,0
1619591693118310000,13,35,1.14928,37.3363,0.166,0
1619591693126392000,14,36,1.11796,38.6264,0.166,0
1619591693134289000,17,39,1.08472,42.5441,0.166,0
1619591693142329000,19,41,1.0493,45.1885,0.166,0
1619591693150405000,21,43,1.01059,47.8539,0.166,0
1619591693158390000,21,43,0.970106,47.8539,0.166,0
1619591693166351000,22,42,0.929225,47.4131,0.166,0
1619591693174412000,22,39,0.889315,44.7772,0.166,0
1619591693182348000,22,38,0.851744,43.909,0.166,0
1619591693190459000,21,36,0.814763,41.6773,0.166,0
1619591693198411000,20,34,0.779754,39.4462,0.166,0
1619591693206517000,18,33,0.746519,37.5899,0.166,0
1619591693214356000,17,30,0.714662,34.4819,0.166,0
1619591693222251000,17,29,0.685515,33.6155,0.166,0
1619591693230272000,16,28,0.657983,32.249,0.166,0
1619591693238269000,13,27,0.630847,29.9666,0.166,0
1619591693246333000,13,27,0.605417,29.9666,0.166,0
1619591693254302000,11,25,0.580005,27.313,0.166,0
1619591693262320000,11,25,0.557255,27.313,0.166,0
1619591693270401000,10,25,0.533861,26.9258,0.166,0
1619591693278315000,7,24,0.511124,25,0.166,0
1619591693286330000,6,24,0.489718,24.7386,0.166,0
1619591693294255000,5,23,0.469305,23.5372,0.166,0
1619591693302296000,3,22,0.449238,22.2036,0.166,0
1619591693310546000,1,21,0.430516,21.0238,0.166,0
1619591693318457000,1,20,0.413519,20.025,0.166,0
1619591693326859000,1,21,0.396963,21.0238,0.166,0
1619591693334336000,2,21,0.380119,21.095,0.166,0
1619591693342279000,3,20,0.362954,20.2237,0.166,0
1619591693350453000,2,20,0.346812,20.0998,0.166,0
1619591693358329000,2,20,0.330735,20.0998,0.166,0
1619591693366540000,2,19,0.313792,19.105,0.166,0
1619591693374447000,3,19,0.299281,19.2354,0.166,0
