timestamp,dx,dy,D,speed,radius,buttons
1619591804990462000,0,0,0.245353,0,0.1,0
1619591805062235000,1,1,0.245353,1.41421,0.1,0
1619591805070129000,2,0,0.245385,2,0.1,0
1619591805078124000,7,1,0.244669,7.07107,0.1,0
1619591805086060000,8,2,0.24119,8.24621,0.1,0
1619591805094117000,12,2,0.238618,12.1655,0.1,0
1619591805102186000,15,3,0.232775,15.2971,0.1,0
1619591805110174000,18,3,0.227121,18.2483,0.1,0
1619591805117997000,20,1,0.220757,20.025,0.1,0
1619591805126039000,22,1,0.212824,22.0227,0.1,0
1619591805134111000,23,-1,0.206115,23.0217,0.1,0
1619591805142061000,22,-2,0.198121,22.0907,0.1,0
1619591805150145000,20,-4,0.191065,20.3961,0.1,0
1619591805158153000,19,-6,0.184917,19.9249,0.1,0
1619591805166170000,17,-7,0.178082,18.3848,0.1,0
1619591805174176000,15,-8,0.172676,17,0.1,0
1619591805182089000,13,-9,0.166224,15.8114,0.1,0
1619591805190117000,10,-9,0.16063,13.4536,0.1,0
1619591805198029000,7,-9,0.154231,11.4018,0.1,0
1619591805205937000,5,-9,0.148865,10.2956,0.1,0
1619591805214031000,4,-9,0.143235,9.84886,0.1,0
1619591805222042000,3,-9,0.136532,9.48683,0.1,0
1619591805230190000,2,-9,0.130618,9.21954,0.1,0
1619591805238238000,0,-8,0.124884,8,0.1,0
1619591805246142000,-1,-10,0.118377,10.0499,0.1,0
1619591805254126000,-3,-8,0.110548,8.544,0.1,0
1619591805262361000,-4,-8,0.103179,8.94427,0.1,0
1619591805270384000,-6,-8,0.0956837,10,0.1,0
1619591805278578000,-8,-7,0.0872856,10.6301,0.1,0
1619591805286387000,-9,-7,0.0792294,11.4018,0.1,0
1619591805294199000,-10,-7,0.0704374,12.2066,0.1,0
1619591805302333000,-9,-6,0.0615327,10.8167,0.1,0
1619591805310376000,-9,-6,0.0541948,10.8167,0.1,0
1619591805318163000,-9,-5,0.0478545,10.2956,0.1,0
1619591805326306000,-7,-5,0.043509,8.60233,0.1,0
1619591805334212000,-7,-5,0.040223,8.60233,0.1,0
1619591805342157000,-6,-4,0.0381523,7.2111,0.1,0
1619591805350253000,-5,-3,0.0377975,5.83095,0.1,0
1619591805358277000,-5,-3,0.0385351,5.83095,0.1,0
1619591805366226000,-4,-2,0.0390871,4.47214,0.1,0
1619591805374355000,-4,-2,0.040104,4.47214,0.1,0
1619591805382037000,-3,-2,0.042015,3.60555,0.1,0
1619591805390428000,-2,-1,0.0435646,2.23607,0.1,0
1619591805398341000,-1,-1,0.0449008,1.41421,0.1,0
1619591805422733000,0,0,0.0449008,0,0.1,1
1619591805518410000,0,0,0.860768,0,0.2,0
1619591805565913000,-1,0,0.860768,1,0.2,0
1619591805574535000,-2,0,0.859931,2,0.2,0
1619591805582235000,-5,1,0.858256,5.09902,0.2,0
1619591805590438000,-6,2,0.854912,6.32456,0.2,0
1619591805598538000,-9,3,0.849493,9.48683,0.2,0
1619591805606652000,-11,5,0.842411,12.083,0.2,0
1619591805614461000,-14,5,0.831791,14.8661,0.2,0
1619591805622549000,-16,7,0.819318,17.4642,0.2,0
1619591805630410000,-19,7,0.805407,20.2485,0.2,0
1619591805638406000,-22,8,0.789234,23.4094,0.2,0
1619591805645998000,-25,9,0.769993,26.5707,0.2,0
1619591805654408000,-28,10,0.749179,29.7321,0.2,0
1619591805662740000,-33,12,0.725367,35.1141,0.2,0
1619591805670391000,-39,13,0.697141,41.1096,0.2,0
1619591805678513000,-41,18,0.665171,44.7772,0.2,0
1619591805686919000,-47,20,0.629208,51.0784,0.2,0
1619591805694099000,-52,24,0.588249,57.2713,0.2,0
1619591805702822000,-53,27,0.542581,59.4811,0.2,0
1619591805710423000,-52,30,0.495198,60.0333,0.2,0
1619591805718415000,-47,30,0.446067,55.7584,0.2,0
1619591805726260000,-41,29,0.401646,50.2195,0.2,0
1619591805734363000,-36,27,0.360289,45,0.2,0
1619591805742444000,-31,24,0.324109,39.2046,0.2,0
1619591805750345000,-27,21,0.293242,34.2053,0.2,0
1619591805758476000,-23,18,0.266191,29.2062,0.2,0
1619591805766316000,-17,14,0.242891,22.0227,0.2,0
1619591805774254000,-13,10,0.225101,16.4012,0.2,0
1619591805781940000,-9,8,0.212649,12.0416,0.2,0
1619591805790443000,-6,6,0.203973,8.48528,0.2,0
1619591805797913000,-3,5,0.197141,5.83095,0.2,0
1619591805806323000,-1,4,0.192493,4.12311,0.2,0
1619591805814393000,0,2,0.189208,2,0.2,0
1619591805822742000,0,3,0.187287,3,0.2,0
1619591805830739000,1,4,0.184412,4.12311,0.2,0
1619591805838306000,1,4,0.181965,4.12311,0.2,0
1619591805846364000,1,4,0.179546,4.12311,0.2,0
1619591805854627000,1,4,0.17671,4.12311,0.2,0
1619591805862332000,0,4,0.173399,4,0.2,0
1619591805870531000,0,5,0.170595,5,0.2,0
1619591805878354000,-2,5,0.166875,5.38516,0.2,0
1619591805886452000,-1,4,0.162693,4.12311,0.2,0
1619591805894314000,-2,4,0.15944,4.47214,0.2,0
1619591805903446000,-3,3,0.154783,4.24264,0.2,0
1619591805910409000,-2,3,0.151973,3.60555,0.2,0
1619591805918312000,-3,3,0.149169,4.24264,0.2,0
1619591805926272000,-4,3,0.14544,5,0.2,0
1619591805934295000,-4,4,0.14173,5.65685,0.2,0
1619591805942756000,-6,5,0.136625,7.81025,0.2,0
1619591805950549000,-7,6,0.130669,9.21954,0.2,0
1619591805958307000,-9,7,0.123425,11.4018,0.2,0
1619591805966542000,-10,7,0.11594,12.2066,0.2,0
1619591805974661000,-11,8,0.107378,13.6015,0.2,0
1619591805982286000,-13,8,0.0989362,15.2643,0.2,0
1619591805990689000,-13,7,0.0898131,14.7648,0.2,0
1619591805998402000,-12,8,0.0829687,14.4222,0.2,0
1619591806006920000,-10,8,0.0774362,12.8062,0.2,0
1619591806014595000,-9,7,0.0719406,11.4018,0.2,0
1619591806022356000,-7,6,0.0697352,9.21954,0.2,0
1619591806030447000,-6,5,0.0673162,7.81025,0.2,0
1619591806038510000,-5,4,0.0664953,6.40312,0.2,0
